title,type,question,A,B,C,D,answer,image
Logical Reasoning,radio,"If a number is even, then it is divisible by 2.
Jika nombor genap, maka boleh dibahagi 2. 
Converse / Akas 是？","If a number is divisible by 2, then it is even. / Jika boleh dibahagi 2, maka genap.","If a number is not even, then it is not divisible by 2. / Jika bukan genap, maka tidak boleh dibahagi 2.","If a number is not divisible by 2, then it is not even. / Jika tidak boleh dibahagi 2, maka bukan genap.","If a number is even, then it is divisible by 2. / Jika genap, maka boleh dibahagi 2.",A,
,radio,"If it rains, then the ground is wet.
Jika hujan, maka tanah basah. 
Converse / Akas 是？","If the ground is wet, then it rains. / Jika tanah basah, maka hujan.","If it does not rain, then the ground is not wet. / Jika tidak hujan, maka tanah tidak basah.","If the ground is not wet, then it does not rain. / Jika tanah tidak basah, maka tidak hujan.","If it rains, then the ground is wet. / Jika hujan, maka tanah basah.",A,
,radio,"If x=2, then 2x=4. 
Jika x=2, maka 2x=4. 
Converse / Akas 是？","If 2x=4, then x=2. / Jika 2x=4, maka x=2.","If x≠2, then 2x≠4. / Jika x bukan 2, maka 2x bukan 4.","If 2x≠4, then x≠2. / Jika 2x bukan 4, maka x bukan 2.","If x=2, then 2x=4. / Jika x=2, maka 2x=4.",A,
,radio,"If a shape is a square, then it has 4 equal sides.
Jika segi empat sama, maka ada 4 sisi sama. 
Converse / Akas 是？","If a shape has 4 equal sides, then it is a square. / Jika ada 4 sisi sama, maka segi empat sama.","If not square, then no 4 equal sides. / Jika bukan segi empat sama, maka tiada 4 sisi sama.","If no 4 equal sides, then not square. / Jika tiada 4 sisi sama, maka bukan segi empat sama.","If square, then 4 equal sides. / Jika segi empat sama, maka 4 sisi sama.",A,
,radio,"If a student studies, then he passes.
Jika pelajar belajar, maka lulus. 
Converse / Akas 是？","If he passes, then he studies. / Jika lulus, maka belajar.","If he does not study, then he does not pass. / Jika tidak belajar, maka tidak lulus.","If he does not pass, then he does not study. / Jika tidak lulus, maka tidak belajar.","If he studies, then he passes. / Jika belajar, maka lulus.",A,
,radio,"If a number is even, then it is divisible by 2.
Jika nombor genap, maka boleh dibahagi 2.
Inverse / Songsangan 是？","If not even, then not divisible by 2. / Jika bukan genap, maka tidak boleh dibahagi 2.","If divisible by 2, then even. / Jika boleh dibahagi 2, maka genap.","If not divisible by 2, then not even. / Jika tidak boleh dibahagi 2, maka bukan genap.","If even, then divisible by 2. / Jika genap, maka boleh dibahagi 2.",A,
,radio,"If it rains, then the ground is wet.
Jika hujan, maka tanah basah. 
Inverse / Songsangan 是？","If it does not rain, then the ground is not wet. / Jika tidak hujan, maka tanah tidak basah.","If ground wet, then rain. / Jika tanah basah, maka hujan.","If ground not wet, then no rain. / Jika tanah tidak basah, maka tidak hujan.","If rain, then ground wet. / Jika hujan, maka tanah basah.",A,
,radio,"If x=2, then 2x=4. 
Jika x=2, maka 2x=4.
Inverse / Songsangan 是？","If x≠2, then 2x≠4. / Jika x bukan 2, maka 2x bukan 4.","If 2x=4, then x=2. / Jika 2x=4, maka x=2.","If 2x≠4, then x≠2. / Jika 2x bukan 4, maka x bukan 2.","If x=2, then 2x=4. / Jika x=2, maka 2x=4.",A,
,radio,"If a square, then 4 equal sides.
Jika segi empat sama, maka 4 sisi sama.
Inverse / Songsangan 是？","If not square, then no 4 equal sides. / Jika bukan segi empat sama, maka tiada 4 sisi sama.","If 4 equal sides, then square. / Jika 4 sisi sama, maka segi empat sama.","If no 4 equal sides, then not square. / Jika tiada 4 sisi sama, maka bukan segi empat sama.","If square, then 4 sides. / Jika segi empat sama, maka 4 sisi.",A,
,radio,"If study, then pass.
Jika belajar, maka lulus.
Inverse / Songsangan 是？","If not study, then not pass. / Jika tidak belajar, maka tidak lulus.","If pass, then study. / Jika lulus, maka belajar.","If not pass, then not study. / Jika tidak lulus, maka tidak belajar.","If study, then pass. / Jika belajar, maka lulus.",A,
